Data Source Identifier;;Message Type;Service Identification;Time of Track Information;Position in WGS-84 Co-ordinates;;Calculated Position in Cartesian Co-ordinates;;Calculated Track Velocity in Cartesian coord.;;Calculated Acceleration;;Mode-3/A Code in octal representation;Target Identification;;Mode-S / ADS-B Related Data;;;;;;;;;;;;;;;;;;;;;;Track Number;Track Status;;;;;;;;;;;;;;;;;;;;;;System Track Update Ages;;;;;;;;;;;;Phase of Flight;Measured Flight Level;Calculated Track Barometric Altitude;;Calculated Track Geometric Altitude;Calculated Rate of Climb/Descent;Target Size & Orientation;;;Flight Plan Related Data;;;;;;;;;;;;;;;;;;;;;;;;;Vehicle Fleet Identification;Pre-programmed Message;;Estimated Accuracies;;;;;;;;;;;Alert Messages;;;Tracks in Alert;Holdbar Status;;Special Purpose Field;Reserved Expansion Field;
SAC;SIC;MESSAGE TYPE;SID;TIME;LAT;LON;X;Y;VX;VY;AX;AY;CODE;STI;CALLSIGN;BDS;MB DATA;ADDRESS;COM;AIRBORNE;GROUND;SPI;ALERT;EMERGENCY;SSC;ARC;AIC;B1A;B1B;AC;MN;DC;TYPE;ECAT;VDL;MDS;UAT;TN;MON;GBS;MRH;SRC;CNF;SIM;TSE;TSB;FRI/FOE;ME;MI;AMA;SPI;CST;FPC;AFF;PSR;SSR;MDS;ADS;SUC;AAC;PSR;SSR;MDA;MFL;MDS;ADS;ADS;MD1;MD2;LOP;TRK;MUL;FLS;FLIGHT LEVEL;QNH;ALT;HEIGHT;RATE;LENGTH;WIDTH;ORIENTATION;SAC;SIC;CALLSIGN;TYP;NBR;GAT;OAT;FR;RVSM;HPR;TYPE;TURBULENCE;Departure Airport;Destination Airport;Runway;FLIGHT LEVEL;Centre;Position;TYP;DAY;TIME;STAND;EMP;AVL;;VFI;TRB;MSG;APC-X;APC-Y;APC-XY;APW-LAT;APW-LON;ATH;AVC-X;AVC-Y;ARC;AAC-X;AAC-Y;ACK;SVR;TYPENUMBER;TN;BKN;INDICATOR;SP;RE;
0;45;T;;06:59:42,070;;;+31578,0;-2923,0;+188,8;+14,0;;;0736;;;;;;;;;;;;;;;;;;;;;;;;;1;;;B;N;;;;T;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:42,070;;;-9799,0;+4056,0;-120,8;+32,0;;;0737;;;;;;;;;;;;;;;;;;;;;;;;;2;;;B;N;;;;T;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:42,070;;;-21775,0;+6495,0;+229,8;-56,2;;;5043;;;;;;;;;;;;;;;;;;;;;;;;;3;;;B;N;;;;T;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:42,070;;;+10724,0;-3540,0;-78,0;+22,8;;;4347;;;;;;;;;;;;;;;;;;;;;;;;;4;;;B;N;;;;T;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:42,070;;;-30348,0;+24676,0;-89,0;-28,0;;;0241;;;;;;;;;;;;;;;;;;;;;;;;;5;;;B;N;;;;T;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:46,266;;;+32419,0;-2850,0;+188,8;+13,8;;;0736;;;;;;;;;;;;;;;;;;;;;;;;;1;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:46,266;;;-10304,0;+4126,0;-124,5;+29,0;;;0737;;;;;;;;;;;;;;;;;;;;;;;;;2;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:46,266;;;-21140,0;+6338,0;+229,8;-56,0;;;5043;;;;;;;;;;;;;;;;;;;;;;;;;3;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:46,266;;;+10443,0;-3461,0;-76,8;+22,2;;;4347;;;;;;;;;;;;;;;;;;;;;;;;;4;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:46,266;;;-30702,0;+24578,0;-89,0;-27,8;;;0241;;;;;;;;;;;;;;;;;;;;;;;;;5;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:50,461;;;-32768,0;-2796,0;+189,0;+13,8;;;0736;;;;;;;;;;;;;;;;;;;;;;;;;1;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:50,461;;;-10887,0;+4085,0;-126,2;+22,0;;;0737;;;;;;;;;;;;;;;;;;;;;;;;;2;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:50,461;;;-20132,0;+6104,0;+229,8;-55,2;;;5043;;;;;;;;;;;;;;;;;;;;;;;;;3;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:50,461;;;+10116,0;-3361,0;-75,5;+22,5;;;4347;;;;;;;;;;;;;;;;;;;;;;;;;4;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:50,461;;;-31114,0;+24466,0;-89,5;-27,2;;;0241;;;;;;;;;;;;;;;;;;;;;;;;;5;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:54,648;;;-11455,0;+3832,0;-126,5;+2,8;;;0737;;;;;;;;;;;;;;;;;;;;;;;;;2;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:54,648;;;-18904,0;+5790,0;+229,5;-55,8;;;5043;;;;;;;;;;;;;;;;;;;;;;;;;3;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:54,648;;;+9788,0;-3258,0;-75,2;+22,8;;;4347;;;;;;;;;;;;;;;;;;;;;;;;;4;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:54,648;;;-31523,0;+24371,0;-90,0;-26,8;;;0241;;;;;;;;;;;;;;;;;;;;;;;;;5;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:58,844;;;-32768,0;-2681,0;+189,0;+13,8;;;0736;;;;;;;;;;;;;;;;;;;;;;;;;1;;;B;N;;;;;N;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:58,844;;;-11923,0;+3643,0;-124,8;-13,8;;;0737;;;;;;;;;;;;;;;;;;;;;;;;;2;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:58,844;;;+9473,0;-3163,0;-75,2;+22,8;;;4347;;;;;;;;;;;;;;;;;;;;;;;;;4;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:58,844;;;-18248,0;+5627,0;+229,0;-55,5;;;5043;;;;;;;;;;;;;;;;;;;;;;;;;3;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;06:59:58,844;;;-31885,0;+24285,0;-90,5;-26,0;;;0241;;;;;;;;;;;;;;;;;;;;;;;;;5;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;07:00:00,094;;;+9382,0;-3115,0;-81,5;+25,2;;;4347;;;;;;;;;;;;;;;;;;;;;;;;;4;;;B;N;;;;;N;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;07:00:00,117;;;-351,0;+477,0;+0,5;+0,0;;;7777;;;;;;;;;;;;;;;;;;;;;;;;;6;;;B;N;;;;T;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;07:00:00,336;;;-12031,0;+3313,0;-119,2;-76,8;;;0737;;;;;;;;;;;;;;;;;;;;;;;;;7;;;B;N;;;;T;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;07:00:00,789;;;-12087,0;+3276,0;-119,5;-79,5;;;0737;;;;;;;;;;;;;;;;;;;;;;;;;7;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;07:00:00,938;;;-352,0;+478,0;+0,2;+0,0;;;7777;;;;;;;;;;;;;;;;;;;;;;;;;6;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;07:00:01,023;;;-12116,0;+3252,0;-119,8;-81,8;;;0737;;;;;;;;;;;;;;;;;;;;;;;;;7;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;07:00:01,531;;;-12178,0;+3209,0;-119,8;-85,0;;;0737;;;;;;;;;;;;;;;;;;;;;;;;;7;;;B;N;;;;;N;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;07:00:01,562;;;+9290,0;-3073,0;-80,0;+24,8;;;4347;;;;;;;;;;;;;;;;;;;;;;;;;4;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;07:00:01,766;;;-352,0;+478,0;+0,0;+0,0;;;7777;;;;;;;;;;;;;;;;;;;;;;;;;6;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;07:00:01,953;;;-12229,0;+3171,0;-119,8;-88,0;;;0737;;;;;;;;;;;;;;;;;;;;;;;;;7;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;07:00:02,039;;;-352,0;+478,0;+0,0;+0,0;;;7777;;;;;;;;;;;;;;;;;;;;;;;;;6;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;07:00:02,297;;;-12265,0;+3140,0;-117,0;-89,8;;;0737;;;;;;;;;;;;;;;;;;;;;;;;;7;;;B;N;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;45;T;;07:00:02,312;;;+9227,0;-3049,0;-79,5;+24,5;;;4347;;;;;;;;;;;;;;;;;;;;;;;;;4;;;B;N;;;;;N;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
